title,href,date,city,theatre,price,type,subclass,status,min_price,max_price
亚洲大型全男班现代舞秀无名之辈,https://detail.damai.cn/item.htm?id=927896498645,2025.07.07 周一 19:30,阜阳,阜阳大剧院-大剧场,80-680,话剧歌剧,音乐剧,售票中,80.0,680.0
2025ECHOSANDSTORMCNTOUR巡演贵阳站,https://detail.damai.cn/item.htm?id=934000886732,2025.07.12 周六 20:00,贵阳,Z纪元空间,149-299,演唱会,livehouse,售票中,149.0,299.0
奥德赛眼睛阿那亚戏剧节特邀剧目,https://detail.damai.cn/item.htm?id=913604748126,2025.06.20-06.22,秦皇岛,阿那亚蜂巢剧场,180-380,话剧歌剧,音乐剧,售票中,180.0,380.0
唱支山歌给党听长影乐团交响音乐会,https://detail.damai.cn/item.htm?id=931210969756,2025.07.01 周二 19:30,北京,国家大剧院-音乐厅,80-480,音乐会,其他,售票中,80.0,480.0
开心麻花王牌爆笑大戏乌龙山伯爵,https://detail.damai.cn/item.htm?id=921455766423,2025.06.13-06.14,北京,大兴剧院-大剧场,80-980,话剧歌剧,话剧,售票中,80.0,980.0
磁场喜剧x南锣鼓巷丨全国知名脱口秀大咖周一至周日持续爆笑,https://detail.damai.cn/item.htm?id=912077621872,2025.06.12-06.27,北京,磁场剧场NT剧场,62-380,曲苑杂坛,其他,售票中,62.0,380.0
2025罗大佑春龙交响夜音乐会,https://detail.damai.cn/item.htm?id=915778435213,2025.08.02-08.03,青岛,青岛大剧院歌剧厅,480-1880,音乐会,其他,售票中,480.0,1880.0
HIGH5放肆嗨2025巡演上海站,https://detail.damai.cn/item.htm?id=926748501637,2025.06.21 周六 19:00,上海,万代南梦宫上海文化中心未来剧场,220-480,演唱会,livehouse,售票中,220.0,480.0
邓寓君等什么君精炁神2025巡回演唱会西安站,https://detail.damai.cn/item.htm?id=925989527658,2025.08.09 周六 19:30,西安,星球工厂LIVEHOUSE,298-388,演唱会,livehouse,售票中,298.0,388.0
河南首演开心麻花综艺同款原创爆笑新喜剧整个喜剧,https://detail.damai.cn/item.htm?id=911200874025,2025.06.13-06.15,郑州,河南艺术中心小剧场,80-380,曲苑杂坛,其他,售票中,80.0,380.0
