title,href,date,city,theatre,price,type,subclass,status
开心麻花爆笑舞台剧《乌龙山伯爵》沈阳站,https://detail.damai.cn/item.htm?id=913648270532,2025.06.13-06.14,沈阳,辽宁大剧院大剧场,80-816,话剧歌剧,话剧,售票中
【舞是%舞蹈艺术节】陆川导演作品 舞剧《天工开物》-深圳站,https://detail.damai.cn/item.htm?id=925286333848,2025.08.02-08.03,深圳,南山文体中心聚橙剧院 大剧院,180-880,话剧歌剧,音乐剧,售票中
7.18「KPOPBOOM南京站」BLACKPINK专场室内音乐节,https://detail.damai.cn/item.htm?id=923022102870,2025.07.18 周五 20:00,南京,南京八度空间,88-188,演唱会,livehouse,售票中
张蔷x地风火乐队「Super Disco」联合专场-广州站,https://detail.damai.cn/item.htm?id=923707440769,2025.06.30 周一 19:30,广州,MAO Livehouse广州中大店(一号馆),298-428,演唱会,livehouse,售票中
2025·悬疑女王阿加莎·克里斯蒂传世巨著·话剧《无人生还》,https://detail.damai.cn/item.htm?id=930958124344,2025.10.10-10.12,成都,四川大剧院 大剧场,80-986,话剧歌剧,话剧,售票中
【七夕】70/80/90港台影视怀旧金曲演唱会“当爱已成往事·情非得已·新不了情”,https://detail.damai.cn/item.htm?id=925343099961,2025.08.29 周五 19:30,苏州,开心麻花运河剧场,80-380,音乐会,其他,售票中
《给所有知道我名字的人》赵传2025巡回演唱会-南京站,https://detail.damai.cn/item.htm?id=905976340525,2025.07.05 周六 19:00,南京,南京奥体中心国缘V9体育馆,380-780,演唱会,其他,售票中
话剧 《宝岛一村》专属版,https://detail.damai.cn/item.htm?id=934140875012,2025.09.05-09.06,合肥,合肥大剧院歌剧厅,180-880,话剧歌剧,话剧,售票中
康士坦的变化球 滚石撞乐队 上海场,https://detail.damai.cn/item.htm?id=930024382767,2025.07.13 周日 20:00,上海,蜚声上海PHASE LIVE HOUSE SHANGHAI,219-359,演唱会,livehouse,售票中
徐子未匿迹生长巡回演唱会-长沙站,https://detail.damai.cn/item.htm?id=916727493764,2025.06.21 周六 19:00,长沙,达丰空间,299-520,演唱会,livehouse,售票中
老舍经典话剧《茶馆》专属版,https://detail.damai.cn/item.htm?id=934428061689,2025.09.14 周日 19:30,太原,太原青年宫演艺中心,100-580,话剧歌剧,话剧,售票中
何洁“底色”2025巡回演唱会,https://detail.damai.cn/item.htm?id=904036281762,2025.06.14 周六 19:30,成都,华熙LIVE·528 M空间,280-880,演唱会,其他,售票中
十年巡演大封箱·话剧天花板 陕西人艺《白鹿原》,https://detail.damai.cn/item.htm?id=920781622542,2025.11.01-11.02,上海,北外滩友邦大剧院,180-880,话剧歌剧,话剧,售票中
舞台剧《两京十五日》2022版,https://detail.damai.cn/item.htm?id=934042602483,2025.08.20-08.21,宁波,天然舞台·大剧场,80-580,话剧歌剧,话剧,售票中
2025上海老克勒斯诺克传奇大师赛（上海站）,https://detail.damai.cn/item.htm?id=933157325458,2025.07.05-07.06,上海,上海苏宁宝丽嘉酒店2楼宝丽嘉宴会厅,980-3888,体育,球类运动,售票中
漫乐至燃——从《Butter-Fly》到《Ave Mujica》乐队LIVE,https://detail.damai.cn/item.htm?id=926494471155,2025.06.29 周日 15:00,深圳,华夏艺术中心,98.9-699,演唱会,其他,售票中
Standby小鹿脱口秀专场《我的中女时代》@石家庄,https://detail.damai.cn/item.htm?id=909790056332,2025.07.13 周日 19:30,石家庄,河北省艺术中心大剧院,220-580,曲苑杂坛,其他,售票中
2025.10.17喜剧《蒋公的面子》 西安站,https://detail.damai.cn/item.htm?id=930535882498,2025.10.17 周五 19:30,西安,西演SPACE·易俗大剧院,100-818,话剧歌剧,话剧,售票中
Zkaaai-2025巡演太原站,https://detail.damai.cn/item.htm?id=930535897726,2025.09.20 周六 20:00,太原,太原The Boo Livehouse,128-328,演唱会,livehouse,售票中
四海福临2025德云社孔云龙章九徕相声专场廊坊站,https://detail.damai.cn/item.htm?id=934056156913,2025.07.19 周六 19:30,廊坊,廊坊市体育馆,99-1400,曲苑杂坛,其他,售票中
过载脱口秀|收官！良言《慢点儿走》脱口秀个人专场|东大路|过载一刻,https://detail.damai.cn/item.htm?id=932140165905,2025.06.21 周六 20:00,成都,开心麻花·环球汇剧场,180-380,曲苑杂坛,其他,售票中
【北京】话剧《门第》,https://detail.damai.cn/item.htm?id=923236362565,2025.07.04-07.06,北京,保利剧院,180-980,话剧歌剧,话剧,售票中
【松果喜剧】西湖脱口秀精品秀@湖滨银泰in77D区三楼,https://detail.damai.cn/item.htm?id=925751230951,2025.06.12-06.30,杭州,松果in77D区馆,66-228,曲苑杂坛,其他,售票中
黄西最新专场脱口秀“水土不服”,https://detail.damai.cn/item.htm?id=930614441461,2025.08.15 周五 20:00,海口,海口湾演艺中心,75-580,曲苑杂坛,其他,售票中
Psy.P2025【50%】巡回演出杭州站,https://detail.damai.cn/item.htm?id=935827967202,2025.06.14 周六 20:00,杭州,LiveShop Uni由你现场,288-480,演唱会,livehouse,售票中
《炽·爱》刘炽作品音乐会 中国煤矿文工团 中国音乐学院出品 靳东戏剧主演 李心草指挥,https://detail.damai.cn/item.htm?id=932019844604,2025.06.14-06.15,北京,中央歌剧院,100-580,音乐会,其他,售票中
法语原版音乐剧《莫里哀》,https://detail.damai.cn/item.htm?id=922317548407,2025.10.16-10.19,深圳,深圳保利剧院,180-1080,话剧歌剧,音乐剧,售票中
2025王者荣耀电竞世界杯,https://detail.damai.cn/item.htm?id=931539288086,2025.07.24-07.26,利雅得,Boulevard Riyadh City,67-538,体育,电竞,售票中
邓寓君·等什么君“精炁神”2025巡回演唱会 南京站,https://detail.damai.cn/item.htm?id=922392710350,2025.08.23 周六 19:30,南京,今世缘·稻香演艺中心,298-388,演唱会,livehouse,售票中
2025 「良辰」国风男声音乐会上海站·风华如君 古韵流歌( 演出阵容：李常超/Winky诗等),https://detail.damai.cn/item.htm?id=913501916043,2025.06.28 周六 19:00,上海,回响之地 Music Park,188-588,演唱会,livehouse,售票中
亚洲大型全男班现代舞秀《无名之辈》兰州站,https://detail.damai.cn/item.htm?id=924628260364,2025.09.05-09.07,兰州,甘肃黄河剧院,126-880,话剧歌剧,音乐剧,售票中
大型全男班舞蹈秀《无名之辈》,https://detail.damai.cn/item.htm?id=924535208794,2025.07.23-07.24,深圳,深圳滨海艺术中心-歌剧厅,180-880,舞蹈芭蕾,舞蹈,售票中
上海话剧艺术中心 舞台剧《浪潮》,https://detail.damai.cn/item.htm?id=934551117449,2025.08.07-08.09,北京,国家大剧院-戏剧场,100-580,话剧歌剧,话剧,售票中
2025胡海泉【流浪者食堂】演唱会-武汉站,https://detail.damai.cn/item.htm?id=911836317347,2025.09.21 周日 19:30,武汉,汉秀剧场,180-1080,演唱会,其他,售票中
